positionId	positionName	companyId	companyFullName	companyShortName	industryField	financeStage	companySize	salary	workYear	education
7622588	python开发工程师	35322	北京缔联科技有限公司	缔联科技	企业服务	B轮	50-150人	15k-30k	1-3年	大专
6643077	python开发工程师	126193	北京安信天行科技有限公司	安信天行	信息安全,移动互联网	上市公司	150-500人	10k-15k	1-3年	本科
7596278	Python 高级爬虫工程师	439861	北京屹文惠科技有限公司	心上网	移动互联网,电商	C轮	150-500人	25k-50k	5-10年	本科
7686898	搜索后端python研发工程师	5832	微梦创科网络科技（中国）有限公司	微博	文娱丨内容	上市公司	2000人以上	20k-40k	1-3年	本科
7552617	python开发工程师	490234	杭州鲸算科技有限公司	鲸算科技	人工智能,软件开发	D轮及以上	500-2000人	15k-30k	1-3年	本科
7065181	Python全栈架构师	551786	北京怡宝伟业商贸有限公司	怡宝	移动互联网	不需要融资	15-50人	30k-60k	5-10年	本科
7297496	python开发工程师	142592	北京斯图飞腾科技有限公司	Stratifyd	数据服务	A轮	15-50人	15k-25k	3-5年	本科
7657381	python工程师	335761	北京极数云舟科技有限公司	极数云舟	移动互联网,数据服务	天使轮	15-50人	10k-20k	1-3年	本科
5817144	Python研发工程师	543898	北京逍遥志科技有限公司	逍遥志科技	移动互联网,金融	A轮	15-50人	25k-50k	3-5年	本科
6975676	python开发工程师	21229	北京嘉和美康信息技术有限公司	嘉和美康	移动互联网,医疗丨健康	D轮及以上	500-2000人	18k-25k	5-10年	本科
7017892	python开发工程师	60689	北京视野金融信息服务有限公司	视野金融	移动互联网,金融	A轮	50-150人	15k-25k	3-5年	本科
6143122	Python开发工程师	76799	因诺（上海）资产管理有限公司	因诺	金融	不需要融资	15-50人	15k-25k	1-3年	硕士
6947742	Python开发工程师	464417	红帽软件（北京）有限公司	Red Hat, 红帽软件	企业服务,数据服务	上市公司	500-2000人	17k-25k	3-5年	本科
7296325	python开发工程师	474707	北京时域科技有限公司	时域科技	移动互联网,人工智能	天使轮	少于15人	18k-36k	3-5年	不限
6877836	python研发工程师	145586	北京数制科技有限公司	数制科技	移动互联网,数据服务	A轮	50-150人	15k-25k	1-3年	本科
7584638	Python高级工程师	454889	信永中和会计师事务所（特殊普通合伙）	信永中和	企业服务	不需要融资	2000人以上	15k-30k	3-5年	本科
7471145	python开发（西城区）	209072	广州德惟科技有限公司	德惟科技	金融,移动互联网	不需要融资	150-500人	9k-16k	1-3年	本科
7680569	Python教学老师	108163	广州英荔教育科技有限公司	英荔教育	企业服务,教育	不需要融资	50-150人	8k-12k	1-3年	本科
7670202	python工程师	39975	北京蓝色星际科技股份有限公司	蓝色星际	移动互联网,硬件	上市公司	500-2000人	11k-20k	1-3年	本科
7472794	后端高级开发工程师-Python/Go	91	高德软件有限公司	阿里巴巴-高德	工具	上市公司	2000人以上	25k-50k	5-10年	本科
7520266	python工程师	177556	北京联世传奇网络技术有限公司	联世传奇	电商	不需要融资	15-50人	15k-25k	1-3年	本科
7324264	python爬虫与数据工程师	156167	北京百观科技有限公司	百观Lab	数据服务,金融	A轮	15-50人	10k-18k	1-3年	本科
3720481	Python数据与爬虫工程师	156167	北京百观科技有限公司	百观Lab	数据服务,金融	A轮	15-50人	18k-24k	3-5年	本科
6904720	python 开发工程师 （业务风控）	4128	北京智者天下科技有限公司	知乎	社交	D轮及以上	500-2000人	15k-30k	不限	本科
7618280	python开发工程师	506031	北京泰斯听科技有限公司	北京泰斯听科技有限公司	移动互联网	未融资	15-50人	15k-30k	3-5年	本科
7478574	python工程师	137813	北京银通易汇科技有限公司	TransferEasy	金融	A轮	50-150人	15k-25k	3-5年	本科
7183378	python研发工程师	5604	小付钱包技术（北京）有限公司	小付钱包技术（北京）有限公司	移动互联网,金融	未融资	150-500人	10k-20k	3-5年	本科
4108681	python游戏服务端开发工程师	2646	在线途游（北京）科技有限公司	途游	移动互联网,游戏	B轮	150-500人	15k-30k	不限	本科
7282397	python开发工程师	764951	北京宇珩科技有限公司	北京宇珩科技有限公司	教育	未融资	15-50人	15k-20k	1-3年	本科
7280853	python开发工程师	125050	北京码博科技有限公司	码博科技	企业服务	不需要融资	15-50人	10k-15k	1-3年	本科
7572656	python开发工程师	321870	北京汉迪移动互联网科技股份有限公司	iHandy	移动互联网	不需要融资	150-500人	15k-30k	1-3年	本科
7377650	python开发工程师	462137	华控清交信息科技（北京）有限公司	清交科技	数据服务	A轮	50-150人	20k-40k	3-5年	本科
7481229	高级python后端工程师	357645	北京尽微至广信息技术有限公司	蓝湖	企业服务	B轮	50-150人	30k-60k	5-10年	本科
6898057	Python开发工程师	728551	北京地海森波网络技术有限责任公司	地海森波网络技术	企业服务	A轮	15-50人	10k-20k	3-5年	本科
5595152	Lead Go/Python/Java工程师	7000	飞维美地信息技术（北京）有限公司	FreeWheel	企业服务,数据服务	上市公司	500-2000人	35k-45k	5-10年	本科
3687374	资深Java/Python/C#/PHP开发	7000	飞维美地信息技术（北京）有限公司	FreeWheel	企业服务,数据服务	上市公司	500-2000人	27k-36k	3-5年	本科
7358644	python开发工程师	140104	北京石云科技有限公司	石云科技	企业服务,金融	不需要融资	50-150人	9k-18k	应届毕业生	本科
7478533	python开发工程师	84447248	北京小杏科技有限公司	小杏科技	软件开发	未融资	少于15人	6k-10k	应届毕业生	本科
